utc_iso,board_timestamp,sample_index,label,trial_id,phase,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
2026-06-14T08:28:19.639322+00:00,1781425699.586650,186,Left,trial_20260614_142816_r01_Left,hold,15459.226424601846,11154.325145998615,-47163.656015831955,-56578.277835640656,-15700.625264719161,-49908.33847622138,-35485.8753664345,-61496.48863035305,15155.600327920954,10852.755409807613,-46410.513986410384,-56520.453872734775,-15891.1515344562,-50223.63218350794,-35695.668839892016,-61803.489840446695
2026-06-14T08:28:19.639322+00:00,1781425699.586723,188,Left,trial_20260614_142816_r01_Left,hold,15273.617538644976,10977.656957823869,-45813.05185712002,-56089.13225998071,-15686.230741289943,-50092.24862959965,-35485.00364840074,-61679.124734297366,15612.738205520895,11309.937990896464,-47086.14016606095,-56356.88380681084,-15525.432291678464,-49739.806323028366,-35298.97007929922,-61329.76696846092
2026-06-14T08:28:19.639322+00:00,1781425699.586767,190,Left,trial_20260614_142816_r01_Left,hold,15137.651877123342,10839.679639301257,-46355.8416194727,-56507.71337839525,-15905.657816607692,-50242.385297105946,-35709.79514238777,-61824.5898872125,15007.229448226626,10713.504041851049,-45544.16037132268,-56268.929692379206,-15932.904593098712,-50380.943760984395,-35750.02828240732,-61963.41657202442
2026-06-14T08:28:19.639322+00:00,1781425699.586812,192,Left,trial_20260614_142816_r01_Left,hold,15607.731414762906,11299.656188447021,-47159.453887874355,-56387.43864148124,-15539.960925574414,-49753.79851505739,-35318.52785569762,-61345.18967213508,15419.95440959387,11114.539040868169,-47144.54527432266,-56595.53338236015,-15733.750550001927,-49952.70668896517,-35521.81697151864,-61540.61097390783
2026-06-14T08:28:19.639322+00:00,1781425699.586852,194,Left,trial_20260614_142816_r01_Left,hold,15003.519058647045,10705.12213768031,-45542.97572886655,-56263.56527370993,-15929.618886663782,-50380.92140923994,-35747.90486668407,-61960.868473156515,15281.619463159976,10982.261417181662,-45845.68540402477,-56085.0865942343,-15679.413459231075,-50084.671388229304,-35480.86857567651,-61670.452257448705
2026-06-14T08:28:19.639322+00:00,1781425699.586893,196,Left,trial_20260614_142816_r01_Left,hold,15441.47913950433,11132.308677710138,-47120.69596298885,-56585.050414210615,-15733.214108134998,-49945.57648248393,-35526.264968665244,-61539.49338668506,15134.90261255534,10831.074217685964,-46361.36250035316,-56514.95534359877,-15916.878392324257,-50252.35417513301,-35726.60365421816,-61837.86682341896
2026-06-14T08:28:19.639322+00:00,1781425699.586908,198,Left,trial_20260614_142816_r01_Left,hold,15298.919713368383,10993.280827198128,-45901.54241341858,-56097.04477751789,-15666.225930002443,-50054.49653321464,-35462.31662777861,-61642.64668734631,15630.150214451578,11317.984618900373,-47166.67350133342,-56392.15485956131,-15538.664524396007,-49736.43120961561,-35314.8845213514,-61332.24801209546
2026-06-14T08:28:19.639322+00:00,1781425699.586920,200,Left,trial_20260614_142816_r01_Left,hold,15117.512955369111,10809.683598242236,-46304.387903736584,-56503.667712648836,-15915.716101612581,-50253.024727466676,-35722.69209893848,-61838.515024008164,15001.283884201514,10698.528373065994,-45518.96995532155,-56250.601261925854,-15920.38761620374,-50365.856333477066,-35734.69498571098,-61948.32914451708
2026-06-14T08:28:19.639322+00:00,1781425699.586934,202,Left,trial_20260614_142816_r01_Left,hold,15622.148289936578,11306.652284461534,-47205.23026051882,-56407.28699055756,-15532.093111526146,-49726.81995949984,-35306.2343962472,-61317.406453777134,15409.694958888884,11096.367072626004,-47080.64163692494,-56581.898818242415,-15732.387093590152,-49955.21008434416,-35524.1862564309,-61544.45547395414
2026-06-14T08:28:19.639322+00:00,1781425699.586947,204,Left,trial_20260614_142816_r01_Left,hold,14999.719262089642,10693.700396263648,-45514.52195817494,-56256.0774393174,-15936.816148378392,-50385.25764766427,-35744.21682884894,-61962.20957782383,15315.907039154416,11006.066025026563,-45942.17788483833,-56101.51512640895,-15665.600081157696,-50041.867797597384,-35451.23016252877,-61627.08987320541
